user_type,sleep_hours,sleep_quality,screen_time,workload,energy_level,stress_level,previous_focus_hours,eye_strain,eye_discomfort,head_discomfort,mental_fatigue,neck_back_discomfort,difficulty_concentrating,focus_hours
Student,7.385352792973401,5,4.052759566839319,5,4,3,5.02863005920168,1,0,1,3,1,1,3.2803746956010573
Professional,7.400472573345235,4,5.838685374018098,3,5,2,3.2900836793627013,2,2,1,2,3,1,2.5424912402443898
Student,7.356703601137692,5,4.161020421490118,3,3,2,5.285669683132452,2,2,1,2,0,1,3.9594469452039123
Professional,5.218515757752019,3,7.286183467584047,5,3,5,2.3584744158529802,2,1,3,3,4,4,0.0
Student,6.496982339539136,3,11.10295894662074,4,1,5,1.463562489971557,3,2,2,4,5,5,0.0
Professional,7.517421894831269,4,5.638381564443778,3,4,2,7.812919339873706,1,0,1,2,2,1,5.669917111573825
Professional,6.926284238627874,4,4.1500447975350365,2,5,2,5.647846372551737,1,0,2,2,0,0,7.125597373971597
Student,6.475712926462354,2,8.854868562960846,5,3,4,1.0409850564118281,2,3,0,4,4,5,0.0
Student,4.84495387617459,1,7.937522285594902,4,1,5,1.7825477378862669,2,2,2,4,3,5,0.0
Student,6.778900472410321,3,3.976590242027629,3,4,2,5.154042534381005,0,1,0,3,1,1,3.655457058803391
Student,8.933244441792215,4,5.556048760443838,4,4,2,7.063307619097205,1,2,0,2,2,0,4.5063302399813185
Professional,7.48203952533782,3,5.844640350111065,3,4,3,5.924712818430705,2,2,3,2,4,0,0.2830524731572197
Student,6.515533284307938,4,5.384570598199588,3,5,3,4.186254810727134,0,0,1,2,3,0,3.2384969089233646
Student,5.0502251651181815,1,7.724005426380492,3,1,3,1.8134267601417642,4,5,1,1,3,1,0.0
Professional,5.258207348511318,2,6.793306815132295,2,2,3,3.574968816636574,1,0,1,0,2,2,1.2956424931801727
Student,5.260236589928209,3,9.31105711660969,3,2,3,3.078760687674366,4,4,4,3,4,2,0.0
Professional,7.448869828294348,3,5.073118882754844,3,5,2,4.707914953236606,1,2,2,2,0,0,3.8583201481100673
Student,7.508265683836877,3,3.2108790653380046,3,3,3,3.3998527742465194,0,1,1,3,1,3,2.361147302559188
Student,7.227931774238482,5,2.15502774221673,3,4,1,6.375090438278919,0,0,0,1,0,0,6.025265020742153
Professional,4.333540838808018,2,8.101636967187913,5,2,5,1.4365464483620776,5,5,3,4,4,5,0.0
Student,7.7862087052357,4,3.449588108704052,2,4,3,4.334518078021588,0,1,0,2,0,1,5.008603703233415
Student,6.145516977442575,2,8.704809868214943,5,2,4,3.36728833494627,4,3,3,2,3,4,0.0
Professional,7.528454022531955,5,5.600748665782613,2,3,2,5.2553837621017685,1,1,0,2,2,1,4.550589771255088
Student,5.659055185858625,2,9.64277766447068,3,2,4,3.794436977790042,3,3,2,4,5,5,0.0
Professional,7.113862145962465,4,4.262673924656264,3,5,2,3.307587594683404,2,3,1,3,2,0,4.641826836868768
Professional,8.145521065910174,5,5.355357347061082,5,5,1,6.651711903624093,0,0,0,3,3,0,5.532524091961381
Professional,7.592952722050753,5,5.735152803559498,3,3,3,3.5597702906195026,1,2,0,4,3,5,0.7554359181480634
Student,4.816847226421584,1,8.420291945202145,4,1,5,2.3222171232527904,4,5,4,5,4,5,0.0
Professional,5.734657904689331,2,10.380978731782696,4,3,4,1.2322346559542519,4,4,3,5,5,5,0.0
Professional,8.400614027472363,3,3.076671550099911,2,3,2,3.100270717306511,1,2,0,1,0,0,4.742293903087727
Professional,5.029285930369927,3,9.60571940090421,4,1,5,1.698637438455445,1,0,3,3,5,4,0.0
Student,8.968178927933028,5,5.9357237605696085,3,5,2,6.693782243870965,0,0,0,3,3,0,6.5032723612357115
Student,6.192050109075117,1,7.345298721950595,4,2,4,1.279052227788025,3,4,5,3,4,5,0.0
Professional,4.992957454920166,1,7.72491139050009,2,2,4,1.3738451895673742,4,5,2,2,2,2,0.0
Student,5.061958353810466,1,7.818081020691381,5,2,5,3.9398663420748354,2,3,2,4,4,5,0.0
Professional,5.457083486921088,1,7.150713660484131,4,2,5,2.7202954760669833,2,1,2,4,5,5,0.0
Student,6.5074048136648335,4,5.884218643591487,2,4,3,5.374088757368658,3,2,0,2,3,1,2.1087815993545536
Professional,8.32521005376622,4,3.0281716584965674,2,4,2,3.795512223550067,0,0,1,1,1,0,5.348972511128183
Professional,6.700309995013534,3,6.263823157660827,2,3,3,3.277585663100157,2,1,1,3,3,4,0.5577600070711002
Professional,8.073011427056244,4,4.223579253046079,2,4,3,5.125750637303476,1,2,3,3,0,1,3.662290081138936
Student,6.040141892785809,1,8.723848834499371,5,2,4,3.659786324507195,2,2,3,3,4,4,0.0
Student,6.923013498563536,5,3.6910270249848396,3,4,2,5.87725272684721,2,3,0,1,4,0,4.521504788584322
Student,5.556716549143564,1,5.727586501937124,2,1,3,1.6990568931905043,0,0,1,1,2,4,0.0
Professional,5.84732613837368,1,9.706191072169151,4,3,5,1.6127694038091893,4,3,3,2,2,4,0.0
Professional,8.1016361997195,4,3.0029908334821243,3,5,2,4.477101146103747,1,1,0,2,2,0,7.384883095158751
Student,4.323451542416752,3,7.747181292591471,4,1,4,2.3406225856013165,2,2,2,3,3,5,0.0
Student,7.76223405578447,5,3.437929464275976,2,3,3,5.886638730347834,1,0,0,1,1,0,5.656685977738108
Student,5.517246078476569,3,7.666541812293704,4,1,4,1.6362437124321332,2,3,2,2,2,4,0.0
Professional,6.819332698734302,4,5.968089807519041,3,3,2,4.8676409713868445,2,1,2,2,4,0,2.772034573928588
Professional,6.429590088075274,1,8.361741338214324,4,2,4,3.809479993930677,2,2,3,4,4,5,0.0
Student,7.099720292798328,4,3.5080308478349784,5,4,3,6.93545024990271,0,1,2,4,1,4,2.4361866182622354
Professional,6.52656240691716,3,6.612762762891142,3,5,2,3.216639556005564,2,2,0,1,3,0,3.4987792413721044
Student,8.24478912670963,3,3.3351638901930465,2,4,2,4.7547926819361646,1,2,0,2,1,0,4.486775122883293
Student,6.666127658122604,2,8.346328979218288,3,2,3,3.559854395701606,3,2,1,3,4,4,0.0
Student,7.193281168329743,4,2.94273013830354,3,5,2,5.38040539738028,0,1,1,1,1,0,6.6778113486417325
Student,7.211593040545598,4,2.3157194201536493,3,4,3,6.54055360022531,0,0,0,2,2,0,2.8383697592022865
Student,8.693570003739492,4,4.216750604019165,3,4,1,7.178183978187423,1,0,0,4,3,1,5.26317023666269
Professional,6.841076097796452,4,4.228350973440994,3,5,3,5.631929208579107,0,0,2,1,3,0,4.293691770547094
Professional,5.243791067186084,3,10.79760074358472,5,1,5,2.9920990993339527,5,4,2,5,5,5,0.0
Student,7.425220606513957,3,3.7927855456866726,3,5,3,5.462757640839001,1,1,1,3,0,0,4.118947746632432
Student,4.8092271265344015,3,9.882448305739436,2,1,4,1.3816746608110322,4,4,3,2,5,5,0.0
Professional,7.60013416581088,5,4.352504261871419,5,4,1,7.268930290940882,0,1,0,4,3,0,7.002557985045935
Professional,8.462195249027019,3,3.4720241064774995,3,5,3,4.536781691628781,1,2,0,3,2,1,3.903018534697481
Student,6.809572069692224,4,5.919694077143284,2,4,3,4.222223644064057,3,3,2,2,2,4,1.8353364004279114
Student,7.623189015424389,3,4.32663137670807,2,5,2,3.6303533278206435,0,0,0,2,2,0,4.994935371963697
Student,6.791257293410847,3,3.4037665022255954,3,4,3,5.812443517197314,0,0,2,2,2,1,3.185606232080494
Student,7.805052710980284,5,4.086847205467674,4,4,1,7.7799966616606095,0,0,0,2,2,0,6.438200740762999
Professional,8.040389215447771,4,3.4934126441273268,3,4,2,6.084821955276169,0,1,0,1,2,0,4.63366506458016
Professional,6.778354540541022,3,7.505813657287452,4,2,4,3.5294345950892363,1,2,0,4,2,5,0.0
Student,5.51679050492501,1,10.987102769708322,5,2,5,2.670516084070723,3,3,1,5,3,5,0.0
Student,8.17258262620492,3,6.531292650713975,2,4,3,3.4698384446779498,3,3,1,2,4,2,2.271652064299912
Student,7.90550867541748,5,4.363465069580458,5,5,1,6.865810201270127,0,0,1,4,2,0,6.352597948833134
Student,8.137625472867747,4,2.4099853167568512,3,5,2,5.908835503670252,0,0,1,3,0,0,7.594087847110366
Student,4.044284626523472,3,9.426333711713108,4,2,5,2.69681058324413,2,3,1,3,5,5,0.0
Student,7.53887889260731,4,3.3687456230346298,3,4,1,6.731560028669927,0,1,0,5,2,1,4.650941086950754
Student,4.483348084030131,1,8.577081956293418,4,2,4,1.7124581270865995,3,4,4,3,4,4,0.0
Professional,5.90611130484775,1,8.431399310559705,5,3,4,3.016059286541605,2,3,3,5,4,5,0.0
Professional,4.093821643829508,3,10.879361447720633,5,2,5,3.8650687588350054,4,3,3,3,5,3,0.0
Professional,7.6642896056294845,5,5.528489713796093,3,5,2,5.490608653037286,0,0,1,3,3,0,7.235842820334892
Student,6.555682102525172,5,6.568235440838777,2,4,3,4.671755499955232,3,3,1,2,2,1,3.120928356349328
Student,8.481285474344357,4,4.9927571966959166,3,5,3,5.5708503896081645,2,2,2,2,3,0,2.5262327378647598
Professional,8.881380375446463,5,2.833110700614183,5,4,3,5.597470692791201,0,1,2,4,3,2,3.4846002646033
Professional,6.616475661640551,4,5.346992475869372,2,4,2,5.842695378972129,1,1,2,1,3,0,4.29004857718077
Professional,5.544666636030092,1,8.893371049863918,5,3,4,2.588600845067372,2,3,3,4,4,3,0.0
Professional,6.0098011091555685,2,9.9842464214072,2,2,4,2.497509499787985,4,5,1,3,3,5,0.0
Professional,8.203938507111683,5,3.2822002548395783,2,3,3,5.178910501106454,1,2,2,4,2,4,3.201730433129499
Student,5.35019830480549,1,10.637815177161004,4,2,4,2.867726193498345,4,5,0,5,4,5,0.0
Student,7.8216327911348555,4,3.554699002683802,3,4,3,5.077516916660033,1,2,1,2,0,1,4.656617476443981
Professional,8.330277640809792,5,4.395481666421162,2,5,3,5.348545853959973,1,2,2,2,1,0,4.884542965717699
Student,6.873814592900237,3,6.631003200964951,2,5,2,4.096100524651958,1,2,1,1,3,0,4.144969103183129
Professional,7.419883902587926,5,5.493646925345058,3,3,2,5.901984334060409,2,1,1,2,5,0,2.5496537449392953
Student,7.168209304173127,3,4.934855329562852,2,5,3,3.0776882107484553,0,0,1,3,2,2,4.174019854448115
Student,5.508410762565883,2,5.774206973237275,3,2,3,2.6803479490280453,3,4,1,3,3,3,0.0
Professional,5.922303514611791,1,8.310559129040897,3,1,4,1.259859282564082,1,0,1,3,5,5,0.0
Professional,8.708799026651361,5,3.5613031170462186,5,5,1,7.705728715246666,3,4,1,0,3,0,5.845403534423932
Professional,6.74900148690809,3,5.976794804243042,4,2,3,1.7434373287207205,2,1,3,2,1,4,0.0
Professional,4.783078058147813,1,8.25934046823803,4,2,3,3.45508192418565,2,2,1,3,5,4,0.0
Student,8.359583445261006,3,5.557499202171102,3,3,3,4.829067183748704,1,1,0,3,1,2,2.836862796530243
Professional,5.743823290068632,1,9.49298455284485,3,2,5,3.676713746614319,2,2,2,2,4,5,0.0
Professional,5.3992935898207834,1,11.04178911249037,4,1,4,1.9172683825371242,5,5,1,3,5,5,0.0
Professional,4.604110055849951,3,7.856665024859643,2,2,4,2.665887475984544,3,4,2,2,4,2,0.0
Professional,5.858711071457536,2,8.950656868630542,3,2,5,1.850644032728943,5,5,3,5,2,5,0.0
Student,6.5497190318315885,5,4.51582363925003,2,4,3,5.553783502086181,1,0,2,2,1,1,4.500140900929602
Student,8.214058056661155,3,3.6158529546660154,3,4,2,3.6922037706211612,1,2,1,2,3,0,3.9450710764479577
Professional,7.174718156714559,3,5.198738454626313,3,4,2,4.378898263069381,1,0,1,3,2,1,2.331407482845605
Student,6.154609558237075,1,10.686864860153356,5,1,4,1.2222247216313433,4,5,1,5,5,5,0.0
Professional,4.89937365058486,2,5.3225037934328085,3,1,4,3.7172703719093434,4,4,2,3,0,5,0.0
Student,4.892293180093068,1,7.267081153121341,3,2,4,1.414849520214243,3,2,0,4,3,4,0.0
Student,7.165913228742836,3,3.426204988864452,2,5,2,3.7639850592973403,0,0,0,2,0,0,6.767577525105565
Student,5.338533338778669,3,11.090520841608742,4,2,5,2.0011126227268896,4,3,2,3,5,5,0.0
Professional,5.494032977331151,2,9.411126151686632,5,2,4,3.31068629694962,4,4,1,3,4,4,0.0
Student,7.146388499714755,4,6.61645464191802,3,5,2,3.3182753388387276,0,0,0,3,3,0,3.1580071229163487
Student,7.879647385795275,5,3.0776049824728617,2,3,2,5.206435164999743,0,0,1,2,1,0,6.226309018829018
Student,6.901264180293147,5,4.57135630592561,3,4,3,3.456870741202966,0,0,1,1,1,0,3.031143569552949
Student,4.951591744853288,2,8.843820903605803,2,1,3,1.6176619322997983,4,5,1,1,4,0,0.0
Professional,8.301520324901464,4,6.339597713457566,3,4,2,5.688708747438399,2,2,0,1,2,0,5.477906877888353
Student,4.130867946078283,1,8.370415978204978,5,3,4,2.449198735579908,3,3,2,4,3,5,0.0
Student,7.823893097224527,5,5.464092762722499,5,4,3,5.1186725196878395,0,0,1,3,2,0,3.6591852579107487
Professional,6.369059146301668,1,7.246747818487107,5,1,5,2.4938457777467917,3,3,1,4,3,5,0.0
Student,4.8412575302089556,1,8.55447165230271,4,2,4,1.7288360850611317,3,3,2,5,4,5,0.0
Student,5.828349883091523,1,9.844839310411498,4,2,5,2.26548950656796,3,3,4,3,4,5,0.0
Professional,7.785255870421864,3,5.186459758654684,2,3,2,4.137017499534599,1,0,0,2,2,0,2.6472124643890202
Student,5.176764868289844,2,7.155340651222281,5,1,4,2.0462837421882654,4,5,3,5,4,5,0.0
Student,7.283996087778297,3,6.0670734253533425,2,3,2,4.600663300660738,2,1,0,2,2,0,2.810025213077095
Student,7.508526921586063,3,3.1457017732068806,2,5,2,5.682546475849714,1,2,1,2,2,0,5.0738258431143
Professional,7.965400367741614,3,3.011646871335155,2,3,3,3.7781992164055618,0,0,3,2,0,4,2.740949721255055
Student,8.56794370101118,4,4.023091335476844,3,5,2,7.797944301627435,2,2,1,2,0,0,7.25378707343129
Professional,6.324676205734697,3,8.36396946349923,5,2,5,3.407968732456659,1,0,4,5,4,5,0.0
Student,6.762029237300931,5,4.351268173286256,3,4,3,3.4645280448606823,0,1,1,2,2,0,3.716386183684804
Professional,7.647950350063484,3,5.226837026211415,2,5,2,3.773432622070013,0,1,0,0,3,0,5.952983231703049
Student,4.817756534426851,2,7.962414969507982,3,1,4,2.962689933999623,1,2,3,5,3,5,0.0
Student,7.9479783284713825,3,6.673140141519831,3,5,2,3.475357320542289,2,3,0,3,3,0,0.9152506805283798
Professional,6.640921355333917,3,4.914806882277329,3,5,3,3.848002081623477,2,3,4,4,2,2,1.1115240378350313
Professional,5.672633788292369,1,10.871255738503354,4,1,4,3.324018811545395,4,5,1,3,5,5,0.0
Professional,6.424934045516502,1,6.19629431375732,2,2,4,1.8110457714867532,0,0,2,3,1,4,0.0
Professional,7.758438386016584,5,4.7540320667958795,3,5,2,5.579243417055201,0,0,2,3,2,1,4.56868993365981
Professional,7.193637461974437,5,5.847552954902832,4,5,2,5.631585465321839,1,1,0,0,0,0,5.989608328280794
Professional,7.50953517265724,5,4.239562127383142,3,5,2,7.272645179400114,1,0,2,2,0,0,5.700398272038482
Student,7.7718791534828675,5,5.07359850653226,3,3,2,3.8800458800102686,0,1,0,3,2,1,3.8988471919126324
Student,7.214828650872444,4,5.75081846151747,5,4,1,7.92018287430813,1,1,0,3,2,2,5.322193134701834
Student,4.857934643018209,3,7.046551453811769,4,3,5,1.8540632846328151,2,3,0,3,4,5,0.0
Professional,8.65091665159257,5,4.674186780455941,5,4,2,5.507374587932534,1,1,0,2,1,0,4.909297505924467
Professional,7.817586034542345,5,5.223564676787417,4,4,3,5.145688169886985,0,0,1,3,2,3,2.8345494817692343
Student,6.481494296454151,1,9.85156253913252,5,1,4,3.6430122544441232,3,2,0,2,5,5,0.0
Student,6.628505445909222,3,3.6428533967639427,3,5,2,4.959561567473438,2,1,0,0,1,0,4.720818051212033
Professional,4.578033900846869,2,7.209245172388663,2,2,5,2.0877496377840314,1,0,3,3,1,5,0.0
Professional,6.636020463904841,5,5.9713251058627606,2,4,2,3.5674160889802202,3,4,3,2,3,0,1.434413172222595
Professional,6.5995620030460875,5,3.7802188889454533,2,5,2,5.832123834842783,0,0,2,0,1,0,4.675726598900525
Professional,7.913285043497868,5,5.226728210727014,3,3,2,4.488885376501919,0,0,1,2,2,0,6.080114328587669
Student,5.351527485811823,1,7.972739848499557,5,2,4,2.4797424790779576,2,3,2,5,5,5,0.0
Student,7.2419213244769844,4,2.6544336833748488,4,5,1,6.76643081046867,0,0,2,2,1,0,7.287802421790575
Professional,6.6894778295586885,5,4.145036141532733,3,5,3,3.2402685290134836,1,0,3,3,2,1,4.298663003740939
Student,5.011298811145588,1,9.925389081866081,4,3,5,1.9982024619515666,2,3,4,4,2,5,0.0
Student,8.227909644019022,5,3.727233862667799,3,4,3,3.5887028450635667,1,2,0,4,4,3,2.7934885610532643
Student,7.4322519966975245,5,2.77378891204775,5,4,1,7.6902396497232335,0,0,2,1,2,0,7.785008065648447
Student,7.012042346123026,3,6.334296438582947,2,3,3,4.311444315135104,2,1,3,1,2,0,0.7082084745201429
Student,7.734555402561418,4,2.160498481044038,3,4,2,7.509860631102974,0,0,2,2,2,0,3.9296470244279016
Professional,5.6685388263345775,2,9.720915744884008,4,3,4,2.0288995591002346,3,2,2,5,3,5,0.0
Professional,5.998193794558979,3,5.546779515547394,3,1,3,1.510777456376308,2,2,0,2,3,2,0.0
Student,8.267466777662774,3,6.721794402180125,3,3,2,3.067705749607131,2,3,2,1,2,0,0.39603074025211793
Student,7.620697348700647,4,4.4193828937226325,2,4,2,3.8221247691128273,0,1,1,3,1,0,3.5929892646540877
Student,7.48471518905898,3,6.156162416808188,3,4,2,4.181045657971838,2,2,1,0,2,0,4.213877185730232
Student,4.763162906201063,2,7.04463617878336,2,1,3,2.348796718023212,0,0,2,1,4,2,0.0
Professional,5.355056660619955,1,9.103207801772394,3,2,5,3.8541891174532465,3,3,2,5,4,5,0.0
Professional,7.940203309078282,3,3.4806370349424878,2,3,2,4.252344851689387,1,1,2,2,1,0,3.430525996013335
Student,8.469701040999203,4,4.67207781005024,4,5,1,5.937630956710167,2,3,0,1,3,0,4.881406302781375
Student,4.947102671269499,1,9.203018113865959,3,1,3,1.9616085004194868,4,3,0,2,5,2,0.0
Professional,4.363918774583089,2,11.505888116086778,4,3,5,1.1228545964484393,4,4,3,5,5,5,0.0
Professional,5.889914622328121,1,9.572855581339002,5,1,4,3.056321567113874,4,3,3,4,5,5,0.0
Professional,7.742928845313569,3,4.196050718437384,3,3,3,3.832280204402937,1,0,2,4,1,4,0.9969757595414095
Student,7.555624216591242,4,6.737079165855508,2,3,2,3.220690062647297,3,4,3,2,3,0,2.1371033484762716
Student,5.265598113071001,1,7.847606393410163,2,1,5,3.6474105848294065,3,4,3,4,2,5,0.0
Student,6.489466827941255,3,7.770906277243994,3,1,5,3.5223552158173437,2,2,1,3,3,5,0.0
Professional,8.971048266510437,5,3.6295291164765615,3,5,2,6.701098350503683,1,2,1,1,2,0,7.293666266712126
Professional,7.18313926588855,5,5.535399274941296,2,4,2,5.180933758585293,1,0,0,2,2,0,5.21716999498007
Professional,6.527466376165156,4,5.649487439651014,2,3,3,3.384564218431385,4,4,2,3,2,2,0.0
Student,8.227691890015448,5,4.3086865064959845,5,5,1,6.978269740549749,2,3,0,3,1,0,5.728531501032344
Professional,5.122358811992182,1,6.671076686300573,4,2,5,2.891677703037215,2,2,3,3,4,4,0.0
Student,5.234080979399685,3,6.709672467873633,3,1,3,3.0367025266906222,0,0,2,4,4,5,0.0
Professional,7.526946891387697,5,5.202655766101245,3,4,2,5.945650212131858,1,2,0,1,2,0,5.473901585166926
Student,8.881074602205896,4,2.2814724316241173,5,5,2,6.143440646104207,0,1,2,4,0,0,5.168418861293882
Student,8.253120981577435,5,5.647513552178765,2,3,3,5.075591724482534,0,1,0,1,2,2,4.320914756051026
Professional,7.729082036442631,5,6.465709611595025,3,5,2,3.0409195375076434,0,1,1,0,3,0,4.888427337436216
Professional,4.840927762573646,3,7.046945655917092,4,2,4,1.0276026928761384,0,0,1,4,3,5,0.0
Student,8.552973762631334,4,5.7607193389169655,5,4,2,7.613794055810471,0,0,2,5,1,2,4.063622145899986
Student,7.288167297020063,5,4.927213770155765,3,3,2,3.8257083177933673,1,2,0,2,4,1,2.7500400984327835
Student,7.6540408033811165,5,6.12674839106559,2,3,2,3.1324366862623663,0,1,0,1,0,0,5.776587866393415
Student,8.074987507346469,4,4.718903184007033,3,5,1,7.041749278756302,3,3,0,3,3,0,5.559801082663952
Student,8.143602918508401,3,4.296540695331185,3,5,3,4.335319991153982,3,3,2,4,2,1,1.7031526195072324
Professional,8.308762269331046,3,5.499775081631328,3,4,2,4.990506208215772,1,2,1,3,1,0,4.363818645864404
Professional,6.454763305717357,1,7.642578342220582,4,1,5,1.098399622830688,2,3,2,4,4,5,0.0
Professional,8.41836140758881,4,4.461963838666877,5,4,3,5.659168250331191,0,0,1,5,2,4,2.820692699824598
Professional,7.45685170461684,5,4.434332618559633,4,4,2,5.819478861109835,0,0,0,3,1,0,5.534135919577867
Student,8.3451448098116,3,4.618580113760397,3,3,3,5.080529511138961,1,0,1,1,2,2,3.9085438128807666
Professional,7.946426373768798,4,3.0880102949239587,3,5,2,5.749561388234989,0,1,2,3,1,0,4.281645316517658
Professional,8.112193495921495,4,4.512827135492312,2,3,2,5.383152675278569,0,0,2,2,2,0,4.719617294022033
Student,7.915045637956085,5,4.88643428296437,3,5,3,3.381935636240175,1,2,2,2,3,0,3.1947707534698235
Professional,7.961296056624818,5,5.440294075959171,4,4,3,7.814161560661789,1,0,1,2,3,0,4.661504439383775
Professional,8.430872406553082,5,4.743505100345859,5,4,2,6.665479189370465,0,0,2,3,2,1,5.318341226770359
Professional,6.732411479262068,3,9.753031857899364,4,2,4,1.6891069460864032,3,3,3,2,5,4,0.0
Professional,7.818450960383592,5,3.7630197737652713,3,5,3,7.422036863601106,0,1,1,2,2,0,5.19359571149908
Professional,5.711932895697997,2,8.526072650644295,4,2,4,2.44818516243035,4,5,1,4,2,5,0.0
Student,6.735877349748467,3,3.1153453076868214,2,4,2,3.7869147941533186,0,0,1,3,3,2,2.9868742252048435
Professional,4.333857723763878,3,8.98123673408203,4,1,5,2.212445295331169,3,4,2,4,3,5,0.0
Professional,7.110865532175742,5,4.283741753277761,2,5,2,5.016601990695337,0,0,1,2,3,0,3.1587897514144228
Professional,7.9439539235970615,3,4.505247267819991,2,4,2,5.41711437744361,0,0,0,1,1,0,6.236620532076986
Professional,6.955976386293917,1,8.652573270131633,2,2,3,3.604891054483984,2,1,1,1,3,1,0.41088908379174965
Professional,4.5768356915152975,2,8.583421780084631,5,1,4,3.0669999549657048,3,2,2,5,3,5,0.0
Professional,5.668972371246917,3,5.78830513398454,4,2,3,3.694371504138636,2,3,0,2,1,3,0.0
Professional,7.385163264917056,4,2.996815082365149,5,4,2,6.6539521719884425,0,0,0,2,1,1,5.493421244108457
Professional,8.585406811561503,5,2.1966105148988415,5,4,2,7.032025538244549,0,1,2,2,1,0,6.106805776769201
Professional,5.99450593052152,2,7.053350635030814,5,1,5,3.579563471005365,2,1,2,3,4,5,0.0
Professional,4.856188047965761,2,9.473771202178519,4,2,4,2.5619660612023347,4,4,1,3,5,5,0.0
Professional,5.103185841875172,2,10.361394147370401,5,3,4,3.908318127027635,4,3,2,5,5,5,0.0
Student,6.556674900766769,3,3.0811212595783233,3,3,3,5.126030159896521,0,0,0,2,0,2,1.1313850274178
Student,7.953507751016656,5,4.559825540458282,4,5,3,6.187234489542063,0,0,1,3,3,1,4.102653698198225
Professional,6.9121475598743505,4,5.8467282374203435,2,5,2,3.377821923142502,2,3,1,2,4,0,4.207737157570749
Student,8.0716169684887,5,4.138383178143673,3,5,2,4.387857815801189,0,0,1,2,0,1,5.618863039902884
Professional,8.660065367256149,4,5.33655464209434,4,5,1,5.5919419117281794,2,1,0,2,2,0,4.570074849550381
Student,7.534241776226661,4,5.603210760573519,2,3,3,4.3464950795419455,1,1,0,3,5,1,2.0533640232439656
Student,5.193366904311573,3,5.803015732148245,4,2,3,1.512032305906701,3,2,2,2,3,2,0.0
Student,6.898088588309555,3,8.940798940678532,4,2,4,2.0734398391078286,4,3,2,3,5,5,0.0
Professional,5.559826337574165,2,7.5486158580178255,3,1,3,2.032226480111067,2,2,0,4,4,5,0.0
Student,4.6341061858534385,2,7.057630070264926,4,2,5,1.8050193738239724,2,3,2,1,3,3,0.0
Student,7.955412740121934,5,3.287258335055663,2,3,2,4.962069232976281,1,0,0,3,1,2,4.31142929064162
Student,6.183791967043147,1,8.474103649358604,4,1,3,3.7356174545350225,1,0,3,4,3,5,0.0
Student,5.331714201784539,2,11.97802100901753,5,1,4,1.92654182434486,4,3,1,4,5,5,0.0
Professional,6.45488154243038,3,9.781105868218138,3,1,3,1.3312284930301788,4,3,2,3,3,4,0.0
Professional,6.525758247808332,1,7.343258184981926,2,2,5,1.8626501182763295,2,3,3,5,4,5,0.0
Student,6.227133760849533,2,5.002051447195875,2,2,4,3.904623783110099,2,3,1,1,3,2,0.27230909084825095
Professional,8.192387732308747,5,4.956536126863629,2,3,2,4.279218169475918,3,4,1,2,3,1,3.058079790687011
Student,4.045080024563075,1,9.033029265230478,4,1,5,1.9716866577411376,4,3,4,2,5,5,0.0
